id,title,description,content,context,example,tags,tag,priority,status,related_definitions,related_relationships
FDS-EN-061,"Ontology","Model of concepts and their relations.","Content for Ontology","Context for Ontology","Example showing Ontology","FDS|Legal|English","Data",low,draft,"DCAT-AP","related_to -> DCAT-AP"
FDS-EN-062,"Glossary","List of defined business terms.","Content for Glossary","Context for Glossary","Example showing Glossary","FDS|Legal|English","Data",normal,in_review,"Ontology","related_to -> Ontology"
FDS-EN-063,"Taxonomy","Hierarchical classification of concepts.","Content for Taxonomy","Context for Taxonomy","Example showing Taxonomy","FDS|Legal|English","Data",high,approved,"Glossary","related_to -> Glossary"
FDS-EN-064,"Thesaurus","Resource for synonyms and relationships.","Content for Thesaurus","Context for Thesaurus","Example showing Thesaurus","FDS|Legal|English","Data",critical,rejected,"Taxonomy","related_to -> Taxonomy"
FDS-EN-065,"Vocabulary","Controlled set of allowed terms.","Content for Vocabulary","Context for Vocabulary","Example showing Vocabulary","FDS|Legal|English","Data",low,archived,"Thesaurus","related_to -> Thesaurus"
FDS-EN-066,"Linked Data","Connected data across the web.","Content for Linked Data","Context for Linked Data","Example showing Linked Data","FDS|Legal|English","Data",normal,draft,"Vocabulary","related_to -> Vocabulary"
FDS-EN-067,"RDF","Standard framework for data exchange.","Content for RDF","Context for RDF","Example showing RDF","FDS|Legal|English","Data",high,in_review,"Linked Data","related_to -> Linked Data"
FDS-EN-068,"Turtle","Readable syntax for RDF triples.","Content for Turtle","Context for Turtle","Example showing Turtle","FDS|Legal|English","Data",critical,approved,"RDF","related_to -> RDF"
FDS-EN-069,"JSON-LD","JSON format for linked registries.","Content for JSON-LD","Context for JSON-LD","Example showing JSON-LD","FDS|Legal|English","Data",low,rejected,"Turtle","related_to -> Turtle"
FDS-EN-070,"SPARQL","Query language for RDF databases.","Content for SPARQL","Context for SPARQL","Example showing SPARQL","FDS|Legal|English","Data",normal,archived,"JSON-LD","related_to -> JSON-LD"
FDS-EN-071,"URI","Unique identifier for a digital resource.","Content for URI","Context for URI","Example showing URI","FDS|Legal|English","Data",high,draft,"SPARQL","related_to -> SPARQL"
FDS-EN-072,"PID","Persistent unique identifier number.","Content for PID","Context for PID","Example showing PID","FDS|Legal|English","Data",critical,in_review,"URI","related_to -> URI"
FDS-EN-073,"Base Register","Authentic source of public data.","Content for Base Register","Context for Base Register","Example showing Base Register","FDS|Legal|English","Data",low,approved,"PID","related_to -> PID"
FDS-EN-074,"System","Cohesive set of base registers.","Content for System","Context for System","Example showing System","FDS|Legal|English","Data",normal,rejected,"Base Register","related_to -> Base Register"
FDS-EN-075,"Core Data","Critical data points for a domain.","Content for Core Data","Context for Core Data","Example showing Core Data","FDS|Legal|English","Data",high,archived,"System","related_to -> System"
FDS-EN-076,"Source Holder","Party responsible for source data.","Content for Source Holder","Context for Source Holder","Example showing Source Holder","FDS|Legal|English","Data",critical,draft,"Core Data","related_to -> Core Data"
FDS-EN-077,"User","End-user consuming the datasets.","Content for User","Context for User","Example showing User","FDS|Legal|English","Data",low,in_review,"Source Holder","related_to -> Source Holder"
FDS-EN-078,"Supplier","Technical entity providing the feed.","Content for Supplier","Context for Supplier","Example showing Supplier","FDS|Legal|English","Data",normal,approved,"User","related_to -> User"
FDS-EN-079,"Catalogue","Overview of available data services.","Content for Catalogue","Context for Catalogue","Example showing Catalogue","FDS|Legal|English","Data",high,rejected,"Supplier","related_to -> Supplier"
FDS-EN-080,"Meta-info","Additional context for data items.","Content for Meta-info","Context for Meta-info","Example showing Meta-info","FDS|Legal|English","Data",critical,archived,"Catalogue","related_to -> Catalogue"
FDS-EN-081,"Gateway","Entry point for managed API traffic.","Content for Gateway","Context for Gateway","Example showing Gateway","FDS|Legal|English","Data",low,draft,"Meta-info","related_to -> Meta-info"
FDS-EN-082,"REST","Architectural style for web services.","Content for REST","Context for REST","Example showing REST","FDS|Legal|English","Data",normal,in_review,"Gateway","related_to -> Gateway"
FDS-EN-083,"GraphQL","Flexible data query language.","Content for GraphQL","Context for GraphQL","Example showing GraphQL","FDS|Legal|English","Data",high,approved,"REST","related_to -> REST"
FDS-EN-084,"WebSub","Protocol for real-time web hooks.","Content for WebSub","Context for WebSub","Example showing WebSub","FDS|Legal|English","Data",critical,rejected,"GraphQL","related_to -> GraphQL"
FDS-EN-085,"Streaming","Continuous flow of live data events.","Content for Streaming","Context for Streaming","Example showing Streaming","FDS|Legal|English","Data",low,archived,"WebSub","related_to -> WebSub"
FDS-EN-086,"Semantic Web","Global web of machine-readable data.","Content for Semantic Web","Context for Semantic Web","Example showing Semantic Web","FDS|Legal|English","Data",normal,draft,"Streaming","related_to -> Streaming"
FDS-EN-087,"OWL","Web language for modelling ontologies.","Content for OWL","Context for OWL","Example showing OWL","FDS|Legal|English","Data",high,in_review,"Semantic Web","related_to -> Semantic Web"
FDS-EN-088,"SKOS","System for knowledge organization.","Content for SKOS","Context for SKOS","Example showing SKOS","FDS|Legal|English","Data",critical,approved,"OWL","related_to -> OWL"
FDS-EN-089,"Graph","Network-based data structures.","Content for Graph","Context for Graph","Example showing Graph","FDS|Legal|English","Data",low,rejected,"SKOS","related_to -> SKOS"
FDS-EN-090,"Triplestore","Specialized database for RDF triples.","Content for Triplestore","Context for Triplestore","Example showing Triplestore","FDS|Legal|English","Data",normal,archived,"Graph","related_to -> Graph"
FDS-EN-091,"Quality","Extent to which data meets needs.","Content for Quality","Context for Quality","Example showing Quality","FDS|Legal|English","Data",high,draft,"Triplestore","related_to -> Triplestore"
FDS-EN-092,"Completeness","Measure of missing attributes.","Content for Completeness","Context for Completeness","Example showing Completeness","FDS|Legal|English","Data",critical,in_review,"Quality","related_to -> Quality"
FDS-EN-093,"Accuracy","Correctness of stored data values.","Content for Accuracy","Context for Accuracy","Example showing Accuracy","FDS|Legal|English","Data",low,approved,"Completeness","related_to -> Completeness"
FDS-EN-094,"Currency","Freshness of the data information.","Content for Currency","Context for Currency","Example showing Currency","FDS|Legal|English","Data",normal,rejected,"Accuracy","related_to -> Accuracy"
FDS-EN-095,"Consistency","Coherence across multiple sources.","Content for Consistency","Context for Consistency","Example showing Consistency","FDS|Legal|English","Data",high,archived,"Currency","related_to -> Currency"
FDS-EN-096,"Access Control","Managing permissions for data.","Content for Access Control","Context for Access Control","Example showing Access Control","FDS|Legal|English","Data",critical,draft,"Consistency","related_to -> Consistency"
FDS-EN-097,"OIDC","Identity layer on top of OAuth 2.0.","Content for OIDC","Context for OIDC","Example showing OIDC","FDS|Legal|English","Data",low,in_review,"Access Control","related_to -> Access Control"
FDS-EN-098,"SAML","XML framework for identity exchange.","Content for SAML","Context for SAML","Example showing SAML","FDS|Legal|English","Data",normal,approved,"OIDC","related_to -> OIDC"
FDS-EN-099,"iSHARE","Trust framework for data sovereignity.","Content for iSHARE","Context for iSHARE","Example showing iSHARE","FDS|Legal|English","Data",high,rejected,"SAML","related_to -> SAML"
FDS-EN-100,"Trust","Level of confidence in the network.","Content for Trust","Context for Trust","Example showing Trust","FDS|Legal|English","Data",critical,archived,"iSHARE","related_to -> iSHARE"
