id,title,description,content,context,example,tags,tag,priority,status,related_definitions,related_relationships
JAGA-001,"Afspraak","Vastgelegde verplichting tussen partijen.","Inhoud voor Afspraak","Context voor Afspraak","Voorbeeld Afspraak","JAGA|Kern","Legal",low,draft,"",""
JAGA-022,"Persoonsgegeven","Informatie herleidbaar tot een individu.","Inhoud voor Persoonsgegeven","Context voor Persoonsgegeven","Voorbeeld Persoonsgegeven","JAGA|Kern","Legal",normal,in_review,"Categorie","gerelateerd_aan -> Categorie"
JAGA-023,"Bijzonder gegeven","Gevoelig gegeven zoals ras of religie.","Inhoud voor Bijzonder gegeven","Context voor Bijzonder gegeven","Voorbeeld Bijzonder gegeven","JAGA|Kern","Legal",high,approved,"Persoonsgegeven","gerelateerd_aan -> Persoonsgegeven"
JAGA-024,"Strafrechtelijk","Gegevens over misdrijven of veroordelingen.","Inhoud voor Strafrechtelijk","Context voor Strafrechtelijk","Voorbeeld Strafrechtelijk","JAGA|Kern","Legal",critical,rejected,"Bijzonder gegeven","gerelateerd_aan -> Bijzonder gegeven"
JAGA-025,"Pseudonimisering","Vervangen van identificerende kenmerken.","Inhoud voor Pseudonimisering","Context voor Pseudonimisering","Voorbeeld Pseudonimisering","JAGA|Kern","Legal",low,archived,"Strafrechtelijk","gerelateerd_aan -> Strafrechtelijk"
JAGA-026,"Anonimisering","Onomkeerbaar onherleidbaar maken.","Inhoud voor Anonimisering","Context voor Anonimisering","Voorbeeld Anonimisering","JAGA|Kern","Legal",normal,draft,"Pseudonimisering","gerelateerd_aan -> Pseudonimisering"
JAGA-027,"Encryptie","Versleutelen van digitale bestanden.","Inhoud voor Encryptie","Context voor Encryptie","Voorbeeld Encryptie","JAGA|Kern","Legal",high,in_review,"Anonimisering","gerelateerd_aan -> Anonimisering"
JAGA-028,"Autorisatie","Toekenning van toegangsrechten.","Inhoud voor Autorisatie","Context voor Autorisatie","Voorbeeld Autorisatie","JAGA|Kern","Legal",critical,approved,"Encryptie","gerelateerd_aan -> Encryptie"
JAGA-029,"Toegangsbeheer","Proces van authenticatie en autorisatie.","Inhoud voor Toegangsbeheer","Context voor Toegangsbeheer","Voorbeeld Toegangsbeheer","JAGA|Kern","Legal",low,rejected,"Autorisatie","gerelateerd_aan -> Autorisatie"
JAGA-030,"Logging","Registratie van systeemgebeurtenissen.","Inhoud voor Logging","Context voor Logging","Voorbeeld Logging","JAGA|Kern","Legal",normal,archived,"Toegangsbeheer","gerelateerd_aan -> Toegangsbeheer"
JAGA-031,"Audit Trail","Spoor van uitgevoerde acties.","Inhoud voor Audit Trail","Context voor Audit Trail","Voorbeeld Audit Trail","JAGA|Kern","Legal",high,draft,"Logging","gerelateerd_aan -> Logging"
JAGA-032,"Bewaartermijn","Periode dat data behouden blijft.","Inhoud voor Bewaartermijn","Context voor Bewaartermijn","Voorbeeld Bewaartermijn","JAGA|Kern","Legal",critical,in_review,"Audit Trail","gerelateerd_aan -> Audit Trail"
JAGA-033,"Verwijdering","Wissen van gegevens uit een systeem.","Inhoud voor Verwijdering","Context voor Verwijdering","Voorbeeld Verwijdering","JAGA|Kern","Legal",low,approved,"Bewaartermijn","gerelateerd_aan -> Bewaartermijn"
JAGA-034,"Correctierecht","Recht om foutieve data te verbeteren.","Inhoud voor Correctierecht","Context voor Correctierecht","Voorbeeld Correctierecht","JAGA|Kern","Legal",normal,rejected,"Verwijdering","gerelateerd_aan -> Verwijdering"
JAGA-035,"Inzage","Recht om eigen data in te zien.","Inhoud voor Inzage","Context voor Inzage","Voorbeeld Inzage","JAGA|Kern","Legal",high,archived,"Correctierecht","gerelateerd_aan -> Correctierecht"
JAGA-036,"Portabiliteit","Overdragen van data naar andere partij.","Inhoud voor Portabiliteit","Context voor Portabiliteit","Voorbeeld Portabiliteit","JAGA|Kern","Legal",critical,draft,"Inzage","gerelateerd_aan -> Inzage"
JAGA-037,"Vergeten","Recht op verwijderen van persoonsgegevens.","Inhoud voor Vergeten","Context voor Vergeten","Voorbeeld Vergeten","JAGA|Kern","Legal",low,in_review,"Portabiliteit","gerelateerd_aan -> Portabiliteit"
JAGA-038,"Klacht","Melding van onvrede bij de AP.","Inhoud voor Klacht","Context voor Klacht","Voorbeeld Klacht","JAGA|Kern","Legal",normal,approved,"Vergeten","gerelateerd_aan -> Vergeten"
JAGA-039,"Zorgvuldigheid","Norm voor verantwoord handelen.","Inhoud voor Zorgvuldigheid","Context voor Zorgvuldigheid","Voorbeeld Zorgvuldigheid","JAGA|Kern","Legal",high,rejected,"Klacht","gerelateerd_aan -> Klacht"
JAGA-040,"Transparantie","Inzichtelijk maken van verwerkingen.","Inhoud voor Transparantie","Context voor Transparantie","Voorbeeld Transparantie","JAGA|Kern","Legal",critical,archived,"Zorgvuldigheid","gerelateerd_aan -> Zorgvuldigheid"
JAGA-041,"Minimalisatie","Niet meer data dan strikt noodzakelijk.","Inhoud voor Minimalisatie","Context voor Minimalisatie","Voorbeeld Minimalisatie","JAGA|Kern","Legal",low,draft,"Transparantie","gerelateerd_aan -> Transparantie"
JAGA-042,"Opslagbeperking","Minimaliseren van bewaartijd.","Inhoud voor Opslagbeperking","Context voor Opslagbeperking","Voorbeeld Opslagbeperking","JAGA|Kern","Legal",normal,in_review,"Minimalisatie","gerelateerd_aan -> Minimalisatie"
JAGA-043,"Integriteit","Bescherming tegen ongeoorloofde wijziging.","Inhoud voor Integriteit","Context voor Integriteit","Voorbeeld Integriteit","JAGA|Kern","Legal",high,approved,"Opslagbeperking","gerelateerd_aan -> Opslagbeperking"
JAGA-044,"Accountability","Aantonen van naleving van regels.","Inhoud voor Accountability","Context voor Accountability","Voorbeeld Accountability","JAGA|Kern","Legal",critical,rejected,"Integriteit","gerelateerd_aan -> Integriteit"
JAGA-045,"Register","Overzicht van verwerkingsactiviteiten.","Inhoud voor Register","Context voor Register","Voorbeeld Register","JAGA|Kern","Legal",low,archived,"Accountability","gerelateerd_aan -> Accountability"
JAGA-046,"Verantwoordelijke","Partij die doel en middelen bepaalt.","Inhoud voor Verantwoordelijke","Context voor Verantwoordelijke","Voorbeeld Verantwoordelijke","JAGA|Kern","Legal",normal,draft,"Register","gerelateerd_aan -> Register"
JAGA-047,"Verwerker","Partij die in opdracht data verwerkt.","Inhoud voor Verwerker","Context voor Verwerker","Voorbeeld Verwerker","JAGA|Kern","Legal",high,in_review,"Verantwoordelijke","gerelateerd_aan -> Verantwoordelijke"
JAGA-048,"Verwerkersovereenkomst","Afspraak tussen verantwoordelijke en verwerker.","Inhoud voor Verwerkersovereenkomst","Context voor Verwerkersovereenkomst","Voorbeeld Verwerkersovereenkomst","JAGA|Kern","Legal",critical,approved,"Verwerker","gerelateerd_aan -> Verwerker"
JAGA-049,"Datalek","Onbedoelde toegang tot persoonsgegevens.","Inhoud voor Datalek","Context voor Datalek","Voorbeeld Datalek","JAGA|Kern","Legal",low,rejected,"Verwerkersovereenkomst","gerelateerd_aan -> Verwerkersovereenkomst"
JAGA-050,"Meldplicht","Verplichting om incidenten te melden.","Inhoud voor Meldplicht","Context voor Meldplicht","Voorbeeld Meldplicht","JAGA|Kern","Legal",normal,archived,"Datalek","gerelateerd_aan -> Datalek"
FDS-051,"FDS","Stelsel voor federatieve data-uitwisseling.","Inhoud voor FDS","Context voor FDS","Voorbeeld FDS","FDS|Kern","Data",high,draft,"Meldplicht","gerelateerd_aan -> Meldplicht"
FDS-052,"Aanbieder","Partij die data beschikbaar stelt.","Inhoud voor Aanbieder","Context voor Aanbieder","Voorbeeld Aanbieder","FDS|Kern","Data",critical,in_review,"FDS","gerelateerd_aan -> FDS"
FDS-053,"Afnemer","Partij die data consumeert.","Inhoud voor Afnemer","Context voor Afnemer","Voorbeeld Afnemer","FDS|Kern","Data",low,approved,"Aanbieder","gerelateerd_aan -> Aanbieder"
FDS-054,"Afsprakenstelsel","Gezamenlijke spelregels voor data.","Inhoud voor Afsprakenstelsel","Context voor Afsprakenstelsel","Voorbeeld Afsprakenstelsel","FDS|Kern","Data",normal,rejected,"Afnemer","gerelateerd_aan -> Afnemer"
FDS-055,"Interoperabiliteit","Samenwerking tussen verschillende systemen.","Inhoud voor Interoperabiliteit","Context voor Interoperabiliteit","Voorbeeld Interoperabiliteit","FDS|Kern","Data",high,archived,"Afsprakenstelsel","gerelateerd_aan -> Afsprakenstelsel"
FDS-056,"Dataset","Verzameling van gerelateerde gegevens.","Inhoud voor Dataset","Context voor Dataset","Voorbeeld Dataset","FDS|Kern","Data",critical,draft,"Interoperabiliteit","gerelateerd_aan -> Interoperabiliteit"
FDS-057,"Stencil","Sjabloon voor gestandaardiseerde data.","Inhoud voor Stencil","Context voor Stencil","Voorbeeld Stencil","FDS|Kern","Data",low,in_review,"Dataset","gerelateerd_aan -> Dataset"
FDS-058,"Profiel","Specifieke invulling van een standaard.","Inhoud voor Profiel","Context voor Profiel","Voorbeeld Profiel","FDS|Kern","Data",normal,approved,"Stencil","gerelateerd_aan -> Stencil"
FDS-059,"Metadata","Gegevens over andere gegevens.","Inhoud voor Metadata","Context voor Metadata","Voorbeeld Metadata","FDS|Kern","Data",high,rejected,"Profiel","gerelateerd_aan -> Profiel"
FDS-060,"DCAT-AP","Standaard voor beschrijven van datasets.","Inhoud voor DCAT-AP","Context voor DCAT-AP","Voorbeeld DCAT-AP","FDS|Kern","Data",critical,archived,"Metadata","gerelateerd_aan -> Metadata"
FDS-061,"Ontologie","Model van concepten en hun relaties.","Inhoud voor Ontologie","Context voor Ontologie","Voorbeeld Ontologie","FDS|Kern","Data",low,draft,"DCAT-AP","gerelateerd_aan -> DCAT-AP"
FDS-062,"Begrippenkader","Lijst met gedefinieerde termen.","Inhoud voor Begrippenkader","Context voor Begrippenkader","Voorbeeld Begrippenkader","FDS|Kern","Data",normal,in_review,"Ontologie","gerelateerd_aan -> Ontologie"
FDS-063,"Taxonomie","Hiërarchische ordening van begrippen.","Inhoud voor Taxonomie","Context voor Taxonomie","Voorbeeld Taxonomie","FDS|Kern","Data",high,approved,"Begrippenkader","gerelateerd_aan -> Begrippenkader"
FDS-064,"Thesaurus","Lijst met synoniemen en relaties.","Inhoud voor Thesaurus","Context voor Thesaurus","Voorbeeld Thesaurus","FDS|Kern","Data",critical,rejected,"Taxonomie","gerelateerd_aan -> Taxonomie"
FDS-065,"Vocabulaire","Gecontroleerde set van termen.","Inhoud voor Vocabulaire","Context voor Vocabulaire","Voorbeeld Vocabulaire","FDS|Kern","Data",low,archived,"Thesaurus","gerelateerd_aan -> Thesaurus"
FDS-066,"Linked Data","Verbonden data via het web.","Inhoud voor Linked Data","Context voor Linked Data","Voorbeeld Linked Data","FDS|Kern","Data",normal,draft,"Vocabulaire","gerelateerd_aan -> Vocabulaire"
FDS-067,"RDF","Standaard voor uitwisseling van data.","Inhoud voor RDF","Context voor RDF","Voorbeeld RDF","FDS|Kern","Data",high,in_review,"Linked Data","gerelateerd_aan -> Linked Data"
FDS-068,"Turtle","Leesbare syntax voor RDF.","Inhoud voor Turtle","Context voor Turtle","Voorbeeld Turtle","FDS|Kern","Data",critical,approved,"RDF","gerelateerd_aan -> RDF"
FDS-069,"JSON-LD","JSON formaat voor Linked Data.","Inhoud voor JSON-LD","Context voor JSON-LD","Voorbeeld JSON-LD","FDS|Kern","Data",low,rejected,"Turtle","gerelateerd_aan -> Turtle"
FDS-070,"SPARQL","Querytaal voor RDF data.","Inhoud voor SPARQL","Context voor SPARQL","Voorbeeld SPARQL","FDS|Kern","Data",normal,archived,"JSON-LD","gerelateerd_aan -> JSON-LD"
FDS-071,"URI","Unieke identificatie van een bron.","Inhoud voor URI","Context voor URI","Voorbeeld URI","FDS|Kern","Data",high,draft,"SPARQL","gerelateerd_aan -> SPARQL"
FDS-072,"PID","Blijvend uniek identificatienummer.","Inhoud voor PID","Context voor PID","Voorbeeld PID","FDS|Kern","Data",critical,in_review,"URI","gerelateerd_aan -> URI"
FDS-073,"Basisregistratie","Authentieke bron van overheidsdata.","Inhoud voor Basisregistratie","Context voor Basisregistratie","Voorbeeld Basisregistratie","FDS|Kern","Data",low,approved,"PID","gerelateerd_aan -> PID"
FDS-074,"Stelsel","Geheel van samenhangende registers.","Inhoud voor Stelsel","Context voor Stelsel","Voorbeeld Stelsel","FDS|Kern","Data",normal,rejected,"Basisregistratie","gerelateerd_aan -> Basisregistratie"
FDS-075,"Kerngegeven","Cruciaal gegeven binnen een domein.","Inhoud voor Kerngegeven","Context voor Kerngegeven","Voorbeeld Kerngegeven","FDS|Kern","Data",high,archived,"Stelsel","gerelateerd_aan -> Stelsel"
FDS-076,"Bronhouder","Verantwoordelijke voor de bron-data.","Inhoud voor Bronhouder","Context voor Bronhouder","Voorbeeld Bronhouder","FDS|Kern","Data",critical,draft,"Kerngegeven","gerelateerd_aan -> Kerngegeven"
FDS-077,"Gebruiker","Eindgebruiker van de data.","Inhoud voor Gebruiker","Context voor Gebruiker","Voorbeeld Gebruiker","FDS|Kern","Data",low,in_review,"Bronhouder","gerelateerd_aan -> Bronhouder"
FDS-078,"Leverancier","Technische partij die data ontsluit.","Inhoud voor Leverancier","Context voor Leverancier","Voorbeeld Leverancier","FDS|Kern","Data",normal,approved,"Gebruiker","gerelateerd_aan -> Gebruiker"
FDS-079,"Catalogus","Overzicht van beschikbare data.","Inhoud voor Catalogus","Context voor Catalogus","Voorbeeld Catalogus","FDS|Kern","Data",high,rejected,"Leverancier","gerelateerd_aan -> Leverancier"
FDS-080,"Meta-informatie","Additionele uitleg over data.","Inhoud voor Meta-informatie","Context voor Meta-informatie","Voorbeeld Meta-informatie","FDS|Kern","Data",critical,archived,"Catalogus","gerelateerd_aan -> Catalogus"
FDS-081,"Gateway","Toegangspunt voor API-verkeer.","Inhoud voor Gateway","Context voor Gateway","Voorbeeld Gateway","FDS|Kern","Data",low,draft,"Meta-informatie","gerelateerd_aan -> Meta-informatie"
FDS-082,"REST","Architectuurstijl voor web API's.","Inhoud voor REST","Context voor REST","Voorbeeld REST","FDS|Kern","Data",normal,in_review,"Gateway","gerelateerd_aan -> Gateway"
FDS-083,"GraphQL","Flexibele querytaal voor API's.","Inhoud voor GraphQL","Context voor GraphQL","Voorbeeld GraphQL","FDS|Kern","Data",high,approved,"REST","gerelateerd_aan -> REST"
FDS-084,"WebSub","Protocol voor real-time notificaties.","Inhoud voor WebSub","Context voor WebSub","Voorbeeld WebSub","FDS|Kern","Data",critical,rejected,"GraphQL","gerelateerd_aan -> GraphQL"
FDS-085,"Streaming","Continue aanvoer van data.","Inhoud voor Streaming","Context voor Streaming","Voorbeeld Streaming","FDS|Kern","Data",low,archived,"WebSub","gerelateerd_aan -> WebSub"
FDS-086,"Semantic Web","Web van machine-leesbare data.","Inhoud voor Semantic Web","Context voor Semantic Web","Voorbeeld Semantic Web","FDS|Kern","Data",normal,draft,"Streaming","gerelateerd_aan -> Streaming"
FDS-087,"OWL","Taal voor modelleren van ontologieën.","Inhoud voor OWL","Context voor OWL","Voorbeeld OWL","FDS|Kern","Data",high,in_review,"Semantic Web","gerelateerd_aan -> Semantic Web"
FDS-088,"SKOS","Systeem voor organiseren van kennis.","Inhoud voor SKOS","Context voor SKOS","Voorbeeld SKOS","FDS|Kern","Data",critical,approved,"OWL","gerelateerd_aan -> OWL"
FDS-089,"Graph","Netwerkmodel van data.","Inhoud voor Graph","Context voor Graph","Voorbeeld Graph","FDS|Kern","Data",low,rejected,"SKOS","gerelateerd_aan -> SKOS"
FDS-090,"Triplestore","Database voor RDF triples.","Inhoud voor Triplestore","Context voor Triplestore","Voorbeeld Triplestore","FDS|Kern","Data",normal,archived,"Graph","gerelateerd_aan -> Graph"
FDS-091,"Kwaliteit","Mate waarin data aan eisen voldoet.","Inhoud voor Kwaliteit","Context voor Kwaliteit","Voorbeeld Kwaliteit","FDS|Kern","Data",high,draft,"Triplestore","gerelateerd_aan -> Triplestore"
FDS-092,"Compleetheid","Index voor missende waarden.","Inhoud voor Compleetheid","Context voor Compleetheid","Voorbeeld Compleetheid","FDS|Kern","Data",critical,in_review,"Kwaliteit","gerelateerd_aan -> Kwaliteit"
FDS-093,"Accuratesse","Mate van correctheid van data.","Inhoud voor Accuratesse","Context voor Accuratesse","Voorbeeld Accuratesse","FDS|Kern","Data",low,approved,"Compleetheid","gerelateerd_aan -> Compleetheid"
FDS-094,"Actualiteit","Versheid van de gegevens.","Inhoud voor Actualiteit","Context voor Actualiteit","Voorbeeld Actualiteit","FDS|Kern","Data",normal,rejected,"Accuratesse","gerelateerd_aan -> Accuratesse"
FDS-095,"Consistentie","Samenhang tussen verschillende bronnen.","Inhoud voor Consistentie","Context voor Consistentie","Voorbeeld Consistentie","FDS|Kern","Data",high,archived,"Actualiteit","gerelateerd_aan -> Actualiteit"
FDS-096,"Access Control","Beheer van wie welke data ziet.","Inhoud voor Access Control","Context voor Access Control","Voorbeeld Access Control","FDS|Kern","Data",critical,draft,"Consistentie","gerelateerd_aan -> Consistentie"
FDS-097,"OIDC","Protocol voor identiteitsverificatie.","Inhoud voor OIDC","Context voor OIDC","Voorbeeld OIDC","FDS|Kern","Data",low,in_review,"Access Control","gerelateerd_aan -> Access Control"
FDS-098,"SAML","XML-gebaseerde authenticatie.","Inhoud voor SAML","Context voor SAML","Voorbeeld SAML","FDS|Kern","Data",normal,approved,"OIDC","gerelateerd_aan -> OIDC"
FDS-099,"iSHARE","Afsprakenstelsel voor veilige data-uitwisseling.","Inhoud voor iSHARE","Context voor iSHARE","Voorbeeld iSHARE","FDS|Kern","Data",high,rejected,"SAML","gerelateerd_aan -> SAML"
FDS-100,"Trust","Mate van vertrouwen in het netwerk.","Inhoud voor Trust","Context voor Trust","Voorbeeld Trust","FDS|Kern","Data",critical,archived,"iSHARE","gerelateerd_aan -> iSHARE"
